Syscall,Occur
 read,1829
 lstat,1655
 poll,1512
 getpid,809
 writev,759
 epoll_ctl,696
 wait4,593
 mmap,533
 select,505
 times,493
 rt_sigprocmask,424
 close,389
 munmap,335
 clock_gettime,317
 ioctl,199
 stat,164
 rt_sigaction,156
 fcntl,118
 open,115
 getdents64,101
 epoll_pwait,98
 mprotect,60
 socket,56
 brk,54
 exit_group,50
 dup2,49
 rt_sigreturn,48
 gettid,48
 fork,48
 write,47
 geteuid,44
 lseek,42
 pipe,39
 recvfrom,37
 getcwd,30
 set_tid_address,24
 arch_prctl,24
 execve,24
 fstat,24
 uname,24
 getuid,22
 madvise,22
 setpgid,20
 sendto,18
 setgid,18
 setuid,18
 access,18
 getgid,18
 chdir,13
 setsockopt,12
 nanosleep,11
 umask,10
 readlink,7
 recvmmsg,7
 connect,6
 getppid,4
 sendmsg,4
 adjtimex,3
 vfork,2
 setgroups,2
 sched_getaffinity,2
 getegid,2
 sendfile,2
 tkill,2
 mkdir,1
