PID, SyscallID, Syscall, RDI, RSI, RDX, R10, R8, R9
813, 270, pselect6, 9, 1083231248, 0, 0, 1083231136, 1083231152
813, 270, pselect6, 9, 1083231248, 0, 0, 1083231136, 1083231152
501, 228, clock_gettime, 1, 3968240864, 4294967295, 1528680576, 0, 0
501, 228, clock_gettime, 1, 3968240960, 4294967295, 1528680576, 0, 0
501, 202, futex, 2544328, 129, 1, 0, 0, 0
501, 228, clock_gettime, 1, 3934408144, 4294967295, 1528680576, 0, 0
501, 228, clock_gettime, 1, 3934408144, 4294967295, 1528680576, 0, 0
501, 281, epoll_pwait, 6, 3934406464, 128, 0, 0, 0
501, 228, clock_gettime, 1, 3934407824, 4294967295, 1528680576, 0, 0
501, 228, clock_gettime, 1, 3934407984, 4294967295, 1528680576, 65544, 0
501, 24, sched_yield, 0, 4, 3009867392, 1528680576, 65544, 0
501, 35, nanosleep, 3968240952, 0, 0, 0, 0, 0
501, 202, futex, 3009867392, 129, 1, 0, 0, 0
501, 228, clock_gettime, 1, 3968240960, 4294967295, 1528680576, 0, 0
501, 35, nanosleep, 3968240952, 0, 0, 1528680576, 98112, 0
501, 228, clock_gettime, 1, 3934407952, 4294967295, 1528680576, 0, 0
501, 228, clock_gettime, 1, 3968240960, 4294967295, 1528680576, 98112, 0
501, 35, nanosleep, 3968240952, 0, 0, 1528680576, 98113, 0
501, 228, clock_gettime, 1, 3934408144, 4294967295, 1528680576, 0, 0
501, 228, clock_gettime, 1, 3968240960, 4294967295, 1528680576, 98113, 0
501, 35, nanosleep, 3968240952, 0, 0, 1528680576, 98113, 0
501, 228, clock_gettime, 1, 3934407952, 4294967295, 1528680576, 4, 5
501, 228, clock_gettime, 1, 3968240960, 4294967295, 1528680576, 98113, 0
501, 35, nanosleep, 3968240952, 0, 0, 1528680576, 98114, 0
501, 228, clock_gettime, 1, 3934407952, 4294967295, 1528680576, 4, 5
501, 228, clock_gettime, 1, 3934407952, 4294967295, 1528680576, 2992777221, 2
501, 228, clock_gettime, 1, 3934407952, 4294967295, 1528680576, 0, 128
501, 228, clock_gettime, 1, 3934408144, 4294967295, 1528680576, 0, 128
501, 228, clock_gettime, 1, 3934407952, 4294967295, 1528680576, 0, 128
501, 228, clock_gettime, 1, 3934408144, 4294967295, 1528680576, 0, 128
501, 228, clock_gettime, 1, 3968240960, 4294967295, 1528680576, 98114, 0
501, 35, nanosleep, 3968240952, 0, 0, 1528680576, 98114, 0
501, 228, clock_gettime, 1, 3968240960, 4294967295, 1528680576, 98114, 0
501, 35, nanosleep, 3968240952, 0, 0, 1528680576, 98115, 0
501, 228, clock_gettime, 1, 3968240960, 4294967295, 1528680576, 98115, 0
501, 35, nanosleep, 3968240952, 0, 0, 1528680576, 98115, 0
